계약자가 동의하지 않는 경우, 자동갱신은 계약 만료 후 적용되지 않습니다.	Automatic renewal will not apply after the contract expires unless the parties agree to it.
임차인이 계약을 중도로 해지하고자 하는 이유가 부동산의 위험성 또는 불법행위에 기반한 경우, 이는 해지 통보의 합리적인 근거가 될 수 있습니다.	If the reason for a tenant's wish to terminate the contract midway is based on the danger or illegal behavior of the property, this can be a reasonable ground for termination notice.
임차인이 계약을 중도로 해지할 경우, 임대인은 적절한 대가를 지급받아야 합니다.	If a tenant terminates the contract midway, the landlord should receive an appropriate compensation.
계약이 중도에 해지되면, 임차인이 사용한 부동산의 가치 손실을 배상해야 할 수 있습니다.	Upon mid-term termination of the contract, the tenant may be required to compensate for the depreciation in value of the property used.
임대인은 계약이 해지된 후에도 임차인에게 반환해야 하는 물건의 상태가 그 때보다 나쁘다면 손해배상 책임을 부담합니다.	After a contract is terminated, if the condition of the property to be returned is worse than at that time, the landlord shall bear liability for damages.
임차인이 계약 해지를 통보한 후에도 임대인은 적절한 시간 내에 재임대로 시도할 수 있습니다.	Even after a tenant has been notified of contract termination, the landlord may attempt re-letting within a reasonable time.
중도에 계약을 해지하는 경우, 임차인이 손해배상을 청구하지 않는 한, 임대인은 보통 추가적인 손해를 입히는 행위를 할 수 없습니다.	If the contract is terminated midway, the landlord generally cannot inflict additional damage unless the tenant claims damages.
임차인이 계약을 중도로 해지하고자 하는 경우, 임대인은 그 근거가 충분한지를 판단해야 합니다.	If a tenant wishes to terminate the contract midway, the landlord must determine whether the grounds are sufficient.
임대인이 계약을 중도로 해지하는 이유로 손해배상청구를 할 수 있는 경우, 임차인은 그 사실에 대해 알게 된 날로부터 6개월 이내에 소송을 제기해야 합니다.	If the landlord can claim damages for mid-term contract termination, the tenant must file a lawsuit within six months of becoming aware of the fact.
임차인이 계약을 중도로 해지하고자 하는 경우, 임대인은 임차인이 이를 알게 할 수 있는 방법으로 통보해야 합니다.	If a tenant wishes to terminate the contract midway, they must notify the landlord in a manner that allows them to know of it.
임차인이 계약을 중도로 해지하고자 하는 경우, 임대인은 그 이유와 함께 손해배상청구권을 포기하는 것을 요청할 수 있습니다.	If a tenant wishes to terminate the contract midway, the landlord may request that they waive their right to claim damages.
중도에 계약이 해지되면, 임차인은 임대인이 재임대로 시도하지 않은 경우에도 손해배상을 청구할 수 있습니다.	Upon mid-term contract termination, the tenant may still claim damages even if the landlord did not attempt re-letting.
임차인이 계약을 중도로 해지하고자 하는 이유가 부동산의 위험성 또는 불법행위에 기반한 경우, 이는 임대인에게 통보하는 합리적인 근거가 될 수 있습니다.	If the reason for a tenant's wish to terminate the contract midway is based on the danger or illegal behavior of the property, this can be a reasonable ground for notifying the landlord.
임차인이 계약을 중도로 해지하고자 하는 경우, 임대인은 그 이유를 검토해야 합니다.	If a tenant wishes to terminate the contract midway, the landlord should review the reason.
중도에 계약이 해지되면, 임차인이 사용한 부동산의 가치 감소로 인해 발생한 손실을 배상해야 할 수 있습니다.	Upon mid-term contract termination, the tenant may be required to compensate for losses resulting from a decrease in the value of the property used.
임대인은 임차인이 관리에 필요한 비용을 납부하지 않을 경우, 그 비용을 상당한 금액으로 감액할 수 있습니다.	The landlord may reduce the rent by a reasonable amount if the tenant fails to pay necessary management costs.
임차인은 임대인이 건물에 불법적인 행위를 할 때 이를 통지하고, 필요한 경우 경찰에 신고해야 합니다.	The tenant must notify the landlord and, where appropriate, report to the police if the landlord engages in illegal activities at the building.
임차인은 임대인에게 건물의 주요 시설을 손상하지 않도록 조심해야 하며, 이로 인해 발생한 비용은 임차인이 부담합니다.	The tenant must take care not to damage the building's major facilities and shall bear any costs incurred as a result of such damage.
임대인은 건물의 유지보수를 책임지고, 이를 위해 필요한 비용을 지급해야 합니다.	The landlord is responsible for maintaining the building and must pay necessary maintenance costs.
임차인이 임대인에게 주거 공간에서 불법적인 활동을 수행할 경우, 임대인은 즉시 계약 해지를 요구할 수 있습니다.	If the tenant performs illegal activities in the inhabited space, the landlord may immediately demand contract termination.
임차인이 건물 내에서 불량한 행위를 하면, 임대인은 이에 따른 손해배상청구권을 가집니다.	If the tenant engages in improper behavior within the building, the landlord has a right to claim damages for such losses.
임차인이 계약 기간 동안 건물의 상태를 유지하기 위해 필요한 보수 작업을 수행해야 합니다.	The tenant must perform necessary repairs during the contract period to maintain the condition of the building.
임대인은 임차인에게 건물을 안전하게 유지하고, 화재나 기타 재해로부터 보호하는 책임이 있습니다.	The landlord is responsible for maintaining the building in a safe condition and protecting it from fires or other disasters.
임차인이 건물에서 물건을 분실하거나 손상시킨 경우, 임차인은 이를 보상을 해야 합니다.	If the tenant loses or damages property in the building, the tenant must compensate for such losses.
임대인은 계약이 종료된 후에 주거 공간의 청소를 책임집니다.	The landlord is responsible for cleaning the inhabited space after the contract ends.
임차인이 건물을 이전할 때, 임차인은 전기, 가스 등의 공급을 정상적으로 중단해야 합니다.	When transferring the building, the tenant must terminate utility services such as electricity and gas normally.
임대인은 임차인이 계약을 위반했을 때 손해배상을 청구할 수 있는 권리가 있습니다.	The landlord has a right to claim damages if the tenant breaches the contract.
임차인은 건물의 특정 부분에 대한 개조를 원한다면, 이전에 임대인에게 알려야 합니다.	If the tenant wants to make alterations to a specific part of the building, they must inform the landlord in advance.
임차인이 계약 기간 내에서만 건물을 사용할 수 있으며, 이를 위반하면 계약이 해지될 수 있습니다.	The tenant may only use the building during the contract period and may face contract termination if this is violated.
임대인은 임차인이 신청한 경우, 건물 내에서의 방문을 허용해야 합니다.	The landlord must permit visits within the building upon the tenant's request.
임차인은 계약 기간 동안 건물의 사용과 관리를 책임집니다.	The tenant is responsible for using and managing the building during the contract period.
임대인이 임차인에게 보증금을 반환할 때, 이는 계약 종료 후 즉시 이루어져야 합니다.	The landlord must return the deposit to the tenant immediately upon contract termination.
임차인은 건물의 특정 부분에 대한 손상을 입혔을 경우, 이를 즉시 보고해야 합니다.	If the tenant damages a specific part of the building, they must report it immediately.
임대인은 계약 기간 동안 건물을 유지보수하는 책임이 있습니다.	The landlord is responsible for maintaining the building during the contract period.
임차인이 계약을 이행하지 않을 경우, 임대인은 계약을 해지할 수 있습니다.	If the tenant fails to perform the contract, the landlord may terminate it.
근로시간은 8시간으로 정해져 있습니다.	The working hours are set at 8 hours.
임금은 시간당 12,000원으로 계약되었습니다.	Wages are agreed upon as 12,000 won per hour.
직위는 일반 사원으로 정해졌습니다.	The position is set as a general employee.
근무장소는 회사 본관 5층에 있습니다.	The workplace is located on the 5th floor of the main building.
수습기간은 3개월로 정해졌습니다.	The probation period is set at three months.
근로시간은 하루 8시간, 일주일 40시간으로 제한됩니다.	Working hours are limited to 8 hours a day and 40 hours per week.
임금은 연차에 따라 조정될 수 있습니다.	Wages may be adjusted based on the number of annual leave days taken.
직위는 향후 성과에 따라 변경될 수 있습니다.	The position may be changed in the future based on performance.
근무장소는 회사의 사업 필요에 따라 변경될 수 있습니다.	The workplace may be changed according to the company's business needs.
수습기간 동안에는 보너스가 제공되지 않습니다.	No bonus will be provided during the probation period.
근로시간은 주 52시간을 초과할 수 없습니다.	Working hours cannot exceed 52 hours per week.
임금은 시장 가격에 따라 조정될 수 있습니다.	Wages may be adjusted based on market rates.
직위는 회사의 조직 구조에 의해 결정됩니다.	The position is determined by the company's organizational structure.
근무장소는 서울 본사와 지방 지점 사이에서 선택할 수 있습니다.	The workplace can be chosen between the Seoul headquarters and branch offices in other regions.
수습기간 동안에는 특별한 교육 프로그램이 제공됩니다.	Special training programs are provided during the probation period.
근로시간은 퇴근 후 2시간 이내에 완료해야 합니다.	Working hours must be completed within two hours after work hours end.
임금은 연간 실적에 따라 조정될 수 있습니다.	Wages may be adjusted based on annual performance.
직위는 직원의 능력과 역량에 따라 변경될 수 있습니다.	The position may be changed according to the employee's abilities and capabilities.
근무장소는 원격 근무 옵션이 가능합니다.	Remote work options are available for the workplace.
수습기간 동안에는 정규직 전환 조건이 명시되어 있습니다.	Conditions for becoming a regular employee during the probation period are specified.
해고를 당한 경우, 근로자는 회사에 대해 손해배상청구가 가능합니다.	In the event of wrongful dismissal, the employee may be entitled to seek damages from the company.
권고사직이 이루어진다면, 근로자에게는 사전 경고와 함께 재고용 권고 또는 교육 등의 기회가 주어져야 합니다.	In a case of voluntary resignation recommended by employer, the employee should be given prior warning and opportunities such as rehire recommendations or training.
퇴직금은 근로자가 정해진 기간 동안 일한 후 받을 수 있는 금전적 보상입니다.	Severance pay is a monetary compensation that an employee may receive after working for a certain period of time.
해고 예고는 고용주가 근로자를 해고하기 전에 적어도 30일 이상 사전 통보해야 합니다.	An employer must provide at least 30 days' notice before dismissing an employee.
근로자가 해고를 당했을 때, 그 상황은 고용관계가 종료된 것을 의미합니다.	When an employee is wrongfully dismissed, it signifies the termination of their employment relationship.
권고사직의 경우, 근로자는 회사와 협상할 수 있는 기회를 얻을 수 있습니다.	In a case of voluntary resignation recommended by the company, an employee may have the opportunity to negotiate with the employer.
퇴직금은 보통 해고나 퇴직 후 1주일 이내에 지급됩니다.	Severance pay is typically provided within one week after wrongful dismissal or resignation.
해고 예고는 고용주의 의사표현으로, 근로자가 사전에 해고를 피할 수 있는 기회를 줍니다.	A notice of dismissal serves as an expression of the employer's intent and provides employees with a chance to avoid being fired.
퇴직금은 고용이 종료된 경우 근로자에게 지급될 수 있습니다.	Severance pay may be provided to an employee upon the termination of their employment.
해고 예고는 고용주의 결정을 바꾸기 위한 논의가 가능하도록 합니다.	A notice of dismissal allows for discussions that could change the employer's decision.
권고사직은 근로자가 회사와 협상하고, 다른 일자리를 찾을 수 있는 기회를 줍니다.	Voluntary resignation recommended by the company provides employees with an opportunity to negotiate and search for other employment.
퇴직금은 고용주의 책임으로 인해 근로자의 일자리가 끝난 경우에 지급됩니다.	Severance pay is provided when an employee's job ends due to the employer's responsibility.
해고 예고는 고용주의 결정을 존중하면서도, 부당한 해고를 방지하기 위한 절차입니다.	A notice of dismissal respects the employer's decision while also providing a process to prevent unjust dismissals.
권고사직은 근로자가 회사를 위해 최선을 다하는 기회를 제공합니다.	Voluntary resignation recommended by the company provides employees with an opportunity to demonstrate their commitment to the firm.
퇴직금은 고용이 종료된 경우에만 지급되며, 일정 기간 동안 근로자가 일한 후에 주어집니다.	Severance pay is only provided upon termination of employment and given after a certain period of work.
해고 예고는 고용주의 결정을 존중하면서도 근로자에게 충분한 시간을 제공합니다.	A notice of dismissal respects the employer's decision while also providing sufficient time for the employee.
권고사직은 근로자가 회사를 위해 최선을 다하는 기회를 제공하며, 이는 고용주의 결정에 영향을 미칠 수 있습니다.	Voluntary resignation recommended by the company provides employees with an opportunity to demonstrate their commitment to the firm and may influence the employer's decision.
퇴직금은 근로자가 일정 기간 동안 근무한 후 받을 수 있는 보상입니다.	Severance pay is a reward that an employee receives after working for a certain period of time.
해고 예고는 근로자의 재취업 준비를 돕기 위해 30일 이상의 시간이 필요합니다.	A notice of dismissal requires at least 30 days to help the employee prepare for re-employment.
권고사직은 회사와 근로자 간에 협상을 가능하게 하는 절차입니다.	Voluntary resignation recommended by the company is a process that enables negotiations between the employer and the employee.
연차를 미리 신청하여 사용한 경우에도 별도의 유급휴가 날짜는 주어집니다.	Even if annual leave is taken in advance, additional paid vacation days will be provided.
육아휴직을 신청하기 위해서는 2년 이상 근무해야 합니다.	To apply for parental leave, you must have worked for at least two years.
4대보험에는 건강보험, 고용보험, 산재보험, 국민연금이 포함됩니다.	The four major insurance schemes include health insurance, employment insurance, work injury insurance, and national pension.
회사에서는 직원의 연차를 1년에 최대 20일까지 사용할 수 있게 합니다.	The company allows employees to use up to 20 days of annual leave per year.
육아휴직을 이용하는 경우, 보수는 계속 지급됩니다.	During parental leave, payment will continue to be provided.
병가를 받으면 일정 기간 동안 소득이 줄어들 수 있습니다.	Receiving sick leave can result in a reduction of income for a certain period.
4대보험에 가입되어 있지 않은 직원에게는 보험 혜택이 제공되지 않습니다.	Employees not enrolled in the four major insurance schemes will not receive insurance benefits.
연차를 사용하지 않고 해지할 경우, 미사용 연차 일수는 급여로 환산하여 지급됩니다.	If annual leave is not taken and the employment is terminated, the unused leave days will be converted into salary for payment.
육아휴직은 최대 3년까지 연장이 가능합니다.	Parental leave can be extended up to a maximum of three years.
병가를 받을 때는 반드시 병원의 진단서를 제출해야 합니다.	When taking sick leave, it is necessary to submit a medical certificate from the hospital.
4대보험에 가입되지 않은 직원에게는 건강보험 혜택이 제공되지 않습니다.	Employees not enrolled in health insurance will not receive health insurance benefits.
연차를 미리 사용한 경우에도 별도의 유급휴가 날짜는 주어집니다.	Even if annual leave is taken early, additional paid vacation days will be provided.
육아휴직을 신청할 때 필요한 서류와 절차에 대해 자세히 설명해 줍니다.	We will provide a detailed explanation of the documents and procedures required to apply for parental leave.
병가를 받는 기간 동안 근로자의 소득이 감소할 수 있습니다.	During sick leave, an employee's income may decrease.
4대보험에 가입되지 않은 직원에게는 고용보험 혜택이 제공되지 않습니다.	Employees not enrolled in employment insurance will not receive employment insurance benefits.
연차를 남기지 않고 퇴사할 경우, 미사용 연차 일수는 급여로 환산하여 지급됩니다.	If annual leave is unused upon resignation, the unused leave days will be converted into salary for payment.
육아휴직은 최대 3년까지 연장이 가능하며, 이 기간 동안 근로자의 소득은 계속 유지됩니다.	Parental leave can be extended up to a maximum of three years, and during this period, the employee's income will continue.
병가를 받는 경우, 회사는 의료비 지원을 제공할 수 있습니다.	In case of sick leave, the company may provide medical expense support.
4대보험에 가입된 직원에게는 국민연금 혜택이 제공됩니다.	Employees enrolled in 4 major insurance schemes will receive national pension benefits.
비밀정보에 대한 공개 금지 의무는 계약 종료 후 5년 동안 계속 적용됩니다.	The obligation to prohibit the disclosure of confidential information will continue for five years after the termination of the contract.
회사는 비밀 정보를 처리하는 기밀 유지 의무가 있습니다.	The company has a confidentiality obligation regarding handling confidential information.
비밀 정보를 누설한 경우, 당사자는 기밀 유지 의무 위반으로 간주되며 손해배상 책임이 있습니다.	If confidential information is disclosed, the party will be deemed to have breached the confidentiality obligation and may be liable for damages.
본 계약의 목적은 비밀 정보를 보호하고 기밀 유지 의무를 지키는 것입니다.	The purpose of this contract is to protect confidential information and fulfill confidentiality obligations.
비밀 정보의 유출을 방지하기 위해 기업은 정기적으로 직원들에게 비밀 유지 의무를 재교육해야 합니다.	To prevent the leakage of confidential information, companies should regularly retrain their employees on confidentiality obligations.
비밀 정보는 협상 당사자들 간에만 공개되어야 하며, 이를 위반하면 기밀 유지 의무 위반이 될 수 있습니다.	Confidential information must be disclosed only to the negotiating parties; such a violation could constitute a breach of confidentiality obligation.
기밀 유지 기간은 협상 당사자들 간에 비밀 정보가 공개되거나 사용되지 않도록 하는 시간을 의미합니다.	The confidentiality period refers to the time during which secret information is not disclosed or used by the negotiating parties.
비밀 정보는 법적 기밀 유지 의무로 보호될 수 있습니다.	Confidential information can be protected under a legal obligation of confidentiality.
비밀 유지 의무는 계약 종료 후에도 계속 유효할 수 있습니다.	The confidentiality obligation may remain valid even after the termination of the contract.
비밀 유지 기간 동안 비밀 정보의 사용이나 공개는 금지됩니다.	The use or disclosure of confidential information is prohibited during the confidentiality period.
비밀 정보는 협상 당사자들 간에만 공유되며, 이를 외부로 누설하는 것은 기밀 유지 의무 위반으로 간주됩니다.	Confidential information is only to be shared between the negotiating parties; disclosing it externally would be considered a breach of confidentiality obligations.
비밀 정보의 처리와 관련된 모든 당사자들은 공개 금지 의무를 준수해야 합니다.	All parties involved in the processing of confidential information must comply with the obligation to prohibit disclosure.
비밀 유지 의무 위반은 심각한 법적 결과를 초래할 수 있습니다.	A breach of confidentiality obligation can result in serious legal consequences.
비밀유지 계약을 위반하여 손해배상을 청구당한 경우, 당사자는 즉시 법적 조치를 취해야 합니다.	If you are sued for damages due to a breach of the confidentiality agreement, you should take legal action immediately.
비밀유지계약을 위반한 상대방에게 위약금을 청구할 수 있습니다.	You can claim liquidated damages from the other party who has breached the confidentiality agreement.
비밀유지계약을 어긴 상대방으로부터 손해배상청구를 할 수 있습니다.	You may seek compensation for losses from the other party who has violated the confidentiality agreement.
비밀유지계약을 위반한 경우, 당사자는 금지명령을 청구할 수 있습니다.	In case of a breach of the confidentiality agreement, you can request an injunction.
비밀유지계약을 위반하면 계약이 해지될 수 있습니다.	A breach of the confidentiality agreement may lead to the termination of the contract.
비밀유지계약을 위반한 상대방에게 손해배상을 청구할 수 있으며, 이는 법원에서 결정됩니다.	You can claim damages from the other party who has breached the confidentiality agreement, and this will be decided by the court.
비밀유지계약을 위반한 상대방에게 위약금을 청구할 수 있으며, 이는 계약에 명시된 금액일 수 있습니다.	You can claim liquidated damages from the other party who has breached the confidentiality agreement; this amount may be specified in the contract.
비밀유지계약을 위반한 상대방으로부터 손해배상을 청구할 수 있으며, 이는 법원에서 결정됩니다.	You can seek compensation for losses from the other party who has breached the confidentiality agreement; this will be determined by the court.
비밀유지계약을 위반한 상대방에게 금지청구를 할 수 있으며, 이는 법원에서 결정됩니다.	You can request an injunction against the other party who has breached the confidentiality agreement; this will be decided by the court.
비밀유지계약을 위반하면 계약이 해지될 수 있으므로 신중히 대처해야 합니다.	Since a breach of the confidentiality agreement may lead to contract termination, you should handle it carefully.
비밀유지계약을 위반한 상대방에게 손해배상을 청구할 수 있습니다.	You can claim damages from the other party who has breached the confidentiality agreement.
위약금은 당사자가 계약을 체결한 후 이를 위반하게 되면 상대방에게 지불해야 하는 금전적 보증금으로, 손해배상액의 정량화를 목적으로 합니다.	Liquidated damages are a sum of money agreed to be paid by one party to the other in case of breach of contract after its conclusion, with the purpose of quantifying the damage compensation.
계약을 위반하거나 지연하여 손해가 발생한 경우에는 손해배상을 청구할 수 있으며, 이는 위약금과 별도로 요구될 수 있습니다.	In case of breach or delay leading to loss, a claim for damages may be made; this can be separate from the liquidated damages.
지연손해금은 계약 당사자가 지정된 기한을 초과하여 수행하지 않으면 상대방에게 지급해야 하는 금액으로, 위약금과 관련이 있습니다.	Penalty for delay is an amount to be paid by a party who fails to perform within the specified time frame to the other party, and it relates to liquidated damages.
위약금은 손해배상액을 미리 정해두는 것이 목적이며, 실제 손실이 얼마나 되었는지에 관계없이 일정 금액으로 지급됩니다.	The purpose of liquidated damages is to pre-establish the amount of compensation for loss; it should be paid in a fixed sum regardless of the actual extent of the loss.
계약서에서 위약금, 손해배상, 지연손해금을 명시하는 것이 중요하며, 이러한 항목은 분쟁 해결의 기준이 됩니다.	It is important to specify liquidated damages, damages, and penalty for delay in the contract; these items serve as a basis for dispute resolution.
위약금은 일반적으로 계약을 체결한 당사자 사이에서 합의되었으며, 법원은 이를 적정성을 평가하는 데 관여하지 않습니다.	Liquidated damages are typically agreed upon by the parties who enter into a contract, and courts generally do not intervene in evaluating their reasonableness.
손해배상액은 실제 손실을 기준으로 계산되며, 위약금과는 달리 법원의 판단에 따라 결정될 수 있습니다.	Damages are calculated based on actual losses and can be determined by a court's judgment, unlike liquidated damages.
지연손해금은 지정된 기한을 넘어서 수행하지 않으면 상대방에게 부과되는 금액으로, 계약 조건에 명시되어야 합니다.	Penalty for delay is the amount imposed on the party that fails to perform after a specified deadline and should be stipulated in the contract conditions.
위약금은 손해배상액의 대체적 해결책으로 사용되며, 계약 당사자는 위약금을 지불해야 하더라도 손해배상을 청구할 권리가 남아 있습니다.	Liquidated damages serve as an alternative to damage compensation; even if a party pays the liquidated damages, they still retain the right to claim actual damages.
위약금은 계약을 체결한 당사자들이 손해를 최소화하고 분쟁을 예방하기 위해 사용됩니다.	Liquidated damages are used by parties who enter into a contract to minimize losses and prevent disputes.
손해배상은 실제 손실에 대한 보상을 목적으로 하며, 위약금과는 달리 법원의 판단에 따라 결정될 수 있습니다.	Damages aim at compensating for actual loss; unlike liquidated damages, they can be determined by a court's judgment.
지연손해금은 계약을 위반하거나 지정된 기한을 초과하여 수행하지 않으면 부과되는 금액으로, 계약 조건에 명시되어야 합니다.	Penalty for delay is the amount imposed in case of breach or non-performance beyond a specified deadline; it should be stipulated in the contract conditions.
위약금은 계약을 체결한 당사자들이 손해를 예방하고 분쟁을 미연에 방지하기 위해 사용됩니다.	Liquidated damages are used by parties who enter into a contract to prevent losses and preempt disputes.
손해배상액은 실제 손실의 정도와 일치하도록 계산되며, 위약금과는 달리 법원의 판단에 따라 결정될 수 있습니다.	Damages are calculated to match the degree of actual loss; unlike liquidated damages, they can be determined by a court's judgment.
지연손해금은 계약 당사자가 지정된 기한을 초과하여 수행하지 않으면 부과되는 금액으로, 계약 조건에 명시되어야 합니다.	Penalty for delay is the amount imposed on a party who fails to perform after a specified deadline; it should be stipulated in the contract conditions.
위약금은 계약을 체결한 당사자들이 손해를 최소화하고 분쟁 발생 가능성을 줄이기 위해 사용됩니다.	Liquidated damages are used by parties who enter into a contract to minimize losses and reduce the likelihood of disputes.
손해배상은 실제 손실을 보상하기 위한 것이며, 위약금과는 달리 법원의 판단에 따라 결정될 수 있습니다.	Damages are meant to compensate for actual loss; unlike liquidated damages, they can be determined by a court's judgment.
지연손해금은 계약 당사자가 지정된 기한을 넘어서 수행하지 않으면 부과되는 금액으로, 계약 조건에 명시되어야 합니다.	Penalty for delay is the amount imposed on a party who fails to perform after a specified deadline; it should be stipulated in the contract conditions.
위약금은 손해배상액을 미리 정해두는 것이 목적이며, 계약 당사자는 위약금을 지불해야 하더라도 손해배상을 청구할 권리가 남아 있습니다.	The purpose of liquidated damages is to pre-establish the amount of compensation for loss; even if a party pays the liquidated damages, they still retain the right to claim actual damages.
손해배상은 실제 손실을 기준으로 계산되며, 위약금과는 달리 법원의 판단에 따라 결정될 수 있습니다.	Damages are calculated based on actual losses; unlike liquidated damages, they can be determined by a court's judgment.
불가항력 사유로 인해 계약을 이행할 수 없는 경우, 당사자는 책임을 면제받을 수 있습니다.	In case of force majeure preventing the performance of the contract, a party may be relieved from liability.
천재지변과 전쟁 등 불가항력 사유로 인해 발생한 손해에 대해 당사자는 책임을 면제받을 수 있습니다.	Parties may be exempted from liability for losses arising out of natural disasters, war, and other force majeure events.
불법 또는 불가항력 사유로 인해 계약의 이행이 불가능한 경우, 당사자는 책임을 면제받을 수 있습니다.	Parties may be relieved from liability if the performance of the contract is impossible due to illegal or force majeure reasons.
파업이나 전염병과 같은 불가항력 사유로 인해 발생한 손해는 당사자에게 면책 효과를 부여합니다.	Losses arising from strikes or epidemics, among other force majeure events, may be excused for the parties involved.
불가항력 사유로 계약을 이행할 수 없는 경우, 당사자는 이를 증명해야 합니다.	If a party is unable to perform due to a force majeure event, it must prove this fact.
정부의 조치 또는 지시가 불가항력 사유로 간주될 수 있습니다.	Government actions or directives may be considered as force majeure events.
불가항력 사유는 계약 당사자간에 서로 협의하여 정의할 수 있습니다.	Force majeure can be defined by mutual agreement between the parties to the contract.
불법 행위 또는 불가항력 사유로 인해 계약이 해제될 수 있습니다.	A contract may be terminated due to illegal acts or force majeure events.
불가항력 사유로 인해 발생한 손해는 당사자에게 면책 효과를 부여합니다.	Losses arising from a force majeure event are excused for the parties involved.
계약에서 불가항력의 정의와 적용 범위를 명확히 하는 것이 중요합니다.	It is important to clearly define and specify the application of force majeure in contracts.
불법 또는 불가항력 사유로 인해 계약을 이행할 수 없는 경우, 당사자는 책임을 면제받을 수 있습니다.	Parties may be relieved from liability if they are unable to perform the contract due to illegal or force majeure events.
계약이 불가항력 사유로 인해 해지될 가능성이 있는 경우, 이를 명확히 명시해야 합니다.	If a contract may be terminated due to a force majeure event, this should be clearly stated.
불법 또는 불가항력 사유로 계약의 이행이 불가능한 경우, 당사자는 책임을 면제받을 수 있습니다.	Parties may be relieved from liability if the performance of a contract is impossible due to illegal or force majeure events.
불법 행위 또는 불가항력 사유로 인해 계약이 해지될 수 있습니다.	A contract may be terminated due to illegal acts or force majeure events.
불법 또는 불가항력 사유로 계약을 이행할 수 없는 경우, 당사자는 책임을 면제받을 수 있습니다.	Parties may be relieved from liability if they are unable to perform the contract due to illegal or force majeure events.
불법 또는 불가항력 사유로 인해 계약이 해지될 수 있는 경우, 이를 명확히 명시해야 합니다.	If a contract may be terminated due to illegal acts or force majeure events, this should be clearly stated.
이 계약에 따라 발생하는 간접 손해는 면책됩니다.	Indirect damages arising from this contract shall be excluded.
계약 당사자 사이에서 책임의 한계를 명시적으로 규정합니다.	The limitation of liability between the parties is explicitly stipulated.
당사자는 본 계약을 통해 발생하는 손해에 대해 면책됩니다.	Parties are exempt from losses arising out of this contract.
이 계약의 조건은 손해 배제를 포함합니다.	The conditions of this contract include the exclusion of liability.
당사자는 본 계약을 통해 발생하는 간접 손해에 대해 책임을 면제받습니다.	Parties are exempt from indirect damages arising out of this contract.
이 계약의 조건은 당사자가 직접적 손해 외의 모든 손해에 대한 책임을 배제합니다.	The conditions of this contract exclude all liability for any losses other than direct damages.
당사자는 간접 손해, 특수 손해, 부차적 손해 등 모든 종류의 손해에서 면책됩니다.	Parties are exempt from all types of damages including indirect, special, or consequential losses.
이 계약에 따라 발생하는 간접 손해는 책임 제한의 범위 내에서 처리될 수 있습니다.	Indirect damages arising from this contract may be dealt with within the scope of limitation of liability.
당사자는 본 계약을 통해 발생하는 모든 손해에 대해 면책됩니다.	Parties are exempt from all losses arising out of this contract.
